DocID,Title,Description
ADM 5370,Information Management (3 units),"
Conceptual and technical foundations for information systems; role of information systems at the operational, tactical and strategic levels in the organization; managerial overview of information systems technology, software, database management systems, and telecommunication systems; methodology for information systems development.
Course Component: Lecture"
ADM 5380,Decision Models for Operations Management (3 units),"
Quantitative methods for the management of operations in service and production oriented organizations; models for operations planning, design and control; facility location, capacity, and distribution planning; project management; operations scheduling; inventory analysis and control; quality assurance.
Course Component: Lecture"
ADM 6099,Stage / Internship (6 crédits / 6 units),
ADM 6110,Function. and Organization Government (3 units),
ADM 6117,Manpower Resource Development (3 units),
ADM 6141,Seminar Public Systems I Transport (3 units),
ADM 6190,Directed Studies Public Policy and Management (3 units),
ADM 6301,Multivariate Methods in Management (3 units),"
Analysis and practice of commonly used multivariate statistical models, their characteristics, advantages, and limitations. Multiple regression analysis, analysis of variance and covariance, principal component analysis, factor analysis, discriminant analysis. Illustration of management problems through practical examples and hands-on experience with large-scale statistical analysis computer packages.
Course Component: Lecture"
ADM 6302,Business and Economic Forecasting (3 units),"
Quantitative and qualitative techniques and models for forecasting in business and economics. Time series analysis, Box-Jenkins analysis, econometric models, subjective assessment techniques, technology forecasting, future methods. Case studies and computer software are used extensively.
Course Component: Lecture"
ADM 6311,Public Management and Administration in Canada (3 units),"
Basic functions and techniques used in the administration of public sector programs in Canada, the major differences and similarities between public and private sector management; detailed knowledge of the procedures, problems and opportunities in public sector management.
Course Component: Lecture"
ADM 6313,Public Sector Financial Policy (3 units),
ADM 6315,Project and Program Evaluation (3 units),"
Theory and practice of the evaluation of projects and programs. The techniques covered include benefit-cost analysis, cost effectiveness, tests of social soundness and political viability. Special emphasis is placed on performance criteria.
Course Component: Lecture"
ADM 6316,Issues in Public Policy and Administration (3 units),"
Allows more in-depth coverage of the issues raised in earlier courses. It is divided in three sections dealing with specific contemporary issues in economic policy, social policy and administrative policy.
Course Component: Lecture"
ADM 6319,Management of Trade Policy (3 units),"
Principles and constraints of decision-making in international trade policy; emphasis on the management, implementation, and effects of Canadian trade policies both on a global scale and at the industry level and on the interaction between government and business.
Course Component: Lecture"
ADM 6320,Marketing Research (3 units),"
Research tools, research methods, design of experiments, and surveys, gathering, analysis and interpretation of market-related data.
Course Component: Lecture"
ADM 6321,Services Marketing (3 units),"
Relationship between the marketing actions of a firm and the needs of society. Application of marketing tools to solve problems of profit and non-profit service organizations. Topics include social and ethical responsibilities, promotion and public conscience, tourism, and health services.
Course Component: Lecture"
ADM 6322,Consumer Behavior (3 units),"
Behavioural sciences applied to the consumer. Motivation, subliminal image, gestalt theory, risk taking behaviour, adoption processes, attitudes, brand loyalty, as well as the sociological and cultural aspects of behaviour.
Course Component: Lecture"
ADM 6323,Promotional Management (3 units),"
Theory and practice of advertising, personal selling and sales promotion. Analysis of media and publicity budgets, planning of promotional campaigns, utilization of research findings, evaluation of advertising effectiveness, and management of sales force.
Course Component: Lecture"
ADM 6324,Marketing Strategy (3 units),"
Synthesis course. Approaches and techniques for formulating marketing objectives, identifying alternative strategies, preparing the marketing plan, implementing and controlling the plan.
Course Component: Lecture"
ADM 6325,International Marketing (3 units),"
Assessment of the firm's internationalization potential. Market segmentation and selection. Methods and techniques for foreign market research. Global marketing-mix strategies. International expansion strategies. Issues in export marketing. Organizing and planning for global marketing.
Course Component: Lecture"
ADM 6326,Industrial and Technology Marketing (3 units),"
Formulation and implementation of decisions that have the greatest leverage in creating competitive advantages for an industrial firm. Topics addressed include profit and non-profit organizational buying behaviour, product strategy, innovation strategy, promotion strategy, pricing strategy and penetration of international markets. Particular attention will be given to the marketing of high technology products.
Course Component: Lecture"
ADM 6330,Organization Design (3 units),"
A contingency perspective on constructing and changing an organization's structure under different conditions to achieve the organization's goals. Important underlying concepts covered include the organization's environment, technology, strategy, and its link to structural options; organization growth and decline, information processing and control, organization decision-making and effectiveness, organization learning and renewal.
Course Component: Lecture"
ADM 6331,Managing Organizational Change (3 units),"
Changing organizations from a consulting perspective, organizational entry and contracting, consultant-client relations, data collection, diagnosis and feedback, evaluation of organization development interventions.
Course Component: Lecture"
ADM 6332,Industrial Relations (3 units),"
Theories of industrial relations and labour movement, structure and functions of labour organizations, union-management relations, employer-employee relations, legislation regulating union-management relations, negotiations and outcomes, contract administration, causes and prevention of industrial conflict.
Course Component: Lecture"
ADM 6335,Performance Management (3 units),"
Focus on managing and improving performance; performance and organizational effectiveness; setting performance targets; performance measurement, performance and productivity; performance appraisal; group performance measures, performance for quality and results; rewarding for performance.
Course Component: Lecture"
ADM 6336,Employment and Pay Equity (3 units),"
Equity and organizational effectiveness, labour force diversity, supply of skilled personnel, human resources information systems and forecasting, human resources development, pay differentials, job evaluation and pay adjustment, Employment Equity and Pay Equity Legislation in Canada.
Course Component: Lecture"
ADM 6340,Accounting for Managerial Planning and Control (3 units),"
Accounting information and resource allocation, development and implementation of planning and control systems; the environment, the structure, transfer pricing. Planning and control in multinational firms, in not-for-profit organizations and in service organization.
Course Component: Lecture"
ADM 6342,Corporate Accounting and Financial Analysis (3 units),"
Understanding published corporate financial statements, the development of concepts and principles for the analysis of financial reporting issues: the foundations of financial statements, assets evaluation and income measurement, financial statement and accounting policies, financial statement analysis and financial and investment decisions.
Course Component: Lecture"
ADM 6343,Tax Policy and Management (3 units),"
Qualitative characteristics of tax systems, liability for tax, employment income including deferred compensation, business income and capital cost allowances, taxable capital gains and allowable capital losses, other inclusions and deductions, personal taxable income and taxes payable, corporate taxable income and taxes payable, corporate taxation and management decisions.
Course Component: Lecture"
ADM 6344,"Auditing-Internal, External and Comprehensive (3 units)","
Principles of auditing, internal and the external audit functions. Strengths and weaknesses, dependency and interdependency, and the evolution of the audit function. Comprehensive auditing.
Course Component: Lecture"
ADM 6345,Creativity and Innovation (3 units),
ADM 6348,Tech. Policy and R and D Management (3 units),
ADM 6350,Corporate Finance (3 units),"
Elements of portfolio analysis and asset pricing, capital budgeting under uncertainty, capital structure theory, dividend policy, applications of options to corporate finance, and leasing.
Course Component: Lecture"
ADM 6351,Management of Fixed Income Securities (3 units),"
Markets for debt instruments, interest rates and yield curves, bond valuation, fixed income derivative securities, interest rate swaps, bond portfolio management and immunization, and asset and liability management.
Course Component: Lecture"
ADM 6353,Financial Instruments and Investment Strategies (3 units),"
Securities markets, common and preferred equity, options and convertibles, commodity and financial futures, mutual funds, portfolio management and performance measurement.
Course Component: Lecture"
ADM 6354,International Corporate Finance (3 units),"
International financial environment, foreign exchange markets, international money and capital markets, exchange rate determination, currency swaps, and currency and interest rate exposure management.
Course Component: Lecture"
ADM 6357,"Options, Futures and Derivative Securities (3 units)","
Design of arbitrage portfolios for asset valuation, risk neutral valuation, option pricing models, convertible securities and warrants, forward contracts and futures, option strategies, and use of derivative securities in portfolio management.
Course Component: Lecture"
ADM 6358,Real Estate Investment and Finance (3 units),"
Nature of investment in real estate property, valuation, risk, and income of real estate investments, methods of financing real estate transactions, structure of the mortgage market and role of financial institutions, and influence of the government on the real estate market.
Course Component: Lecture"
ADM 6362,Project Management (3 units),"
The project cycle; identification of need and initial design, evaluation of proposal, the end of the project, planning and execution of operation, the human and organizational dimensions of project management. Major cases to illustrate concepts.
Course Component: Lecture"
ADM 6365,Business Law (3 units),"
Legal framework of business. The legislative framework applicable to the different types of business enterprises (sole proprietorship, partnership, corporation), the system of protection of Canadian business enterprises, legislation related to foreign investment, federal and provincial legislation and manufactured products, advertising packaging and labelling, consumer protection, warranties at both the manufacturing and retail sales levels.
Course Component: Lecture"
ADM 6367,Technology Policy and Research and Development Management (3 units),"
The relationship between R and D and economic progress; elements of the Canadian policy on technology; R and D activities in the private and public sectors; government incentives and support programs; comparison with the policie of other industrial countries; technology planning and R and D management in a Canadian setting: technology forecasting; staffing, structure, strategy and support for R and D.
Course Component: Lecture"
ADM 6368,Starting a Small Business (3 units),"
The importance of small business in Canada. Design of the business plan essentials, competition, planning, and financials. Startup, buying, or franchising the venture. Presentation and negociation of the plan with financiers.
Course Component: Lecture"
ADM 6371,Computer Methods in Industrial Engineering (3 units),
ADM 6371, Computer Methods in Industrial Engineering (3 crédits / 3 units),
ADM 6373,Business Telecommunication Systems (3 units),"
Concepts of voice, data, image and video communications and their integration into local and long distance networks. Business communication systems examples.
Course Component: Lecture"
ADM 6376,Information Systems for Decision-Making (3 units),"
Main information systems at the higher levels of the organization: executive systems, strategic systems (inter-organizational systems, cooperative systems), decision support systems, group decision support and expert systems. Practical examples from the private sector and government.
Course Component: Lecture"
ADM 6377,Planning and Development of Information Systems (3 units),"
Management issues associated with the planning, development, and maintenance of information systems; methods and tools for systems planning and development; project management techniques and tools for information systems development with a life-cycle approach; methods and tools for systems maintenance.
Course Component: Lecture"
ADM 6381,Managing Technological Risk (3 units),"
Common framework for the analysis of new technologies including nuclear energy, hazardous materials, new drugs, food additives. Multi-attribute decision analysis and societal preferences, the economics of risk management.
Course Component: Lecture"
ADM 6382,Management Analysis and Control of Production Systems (3 units),"
Efficient production of goods and services through the obtention, organization and transformation of inputs. Role of the production manager, facility and production planning, layout planning, inventory systems and quality control, supply and delivery.
Course Component: Lecture"
ADM 6383,Mathematical Programming (3 units),"
Formulation and solution of decision problems in management. Linear programming methods and duality theory. Network optimization. Elements of integer and non-linear programming.
Course Component: Lecture"
ADM 6385,Linear Optimization (3 units),
ADM 6385, Linear Optimization (3 crédits / 3 units),
ADM 6386,Non-Linear Optimization (3 units),
ADM 6386, Non-Linear Optimization (3 crédits / 3 units),
ADM 6387,Topics in Operations Research (3 units),
ADM 6387, Topics in Operations Research (3 crédits / 3 units),
ADM 6391,Directed Readings in Administration I (3 units),
ADM 6392,Directed Readings in Administration II (3 units),"
Advanced study in an area of administrative sciences. Under the guidance of a professor, the student will select topics and investigate the area. A major term paper will be expected from the student.
Course Component: Lecture"
ADM 6393,Seminar in Administration I (3 units),"
A seminar on the problems of competition policy, regulation policy and the general interaction of law and economic measures.
Course Component: Lecture"
ADM 6394,Seminar in Administration II (3 units),
ADM 6395,Seminar in Administration III (3 units),"
Every year the University of Ottawa competes in several national and international MBA Case Competitions. This course prepares students for participation in these competitions. Entry into this course is limited and students will compete for placements. Only students who participate in the mini-case competitions schedule early September and are selected by the judges will be able to register to the course.
Course Component: Lecture"
ADM 6395, Seminar in Administration III (3 units),
ADM 6396,Seminar in Administration IV (3 units),"
The seminars will focus on issues in administrative studies. The focus of these seminars should be expected to change from year to year.
Course Component: Lecture"
ADM 6901,Projet / Project (3 crédits / 3 units),"
Étude approfondie d'un domaine de la gestion publique ou de la gouvernance. Étude de cas ou projet en collaboration avec une ou plusieurs agences du secteur public. Rapport écrit. Noté S (satisfaisant) ou NS (non satisfaisant) par le professeur responsable. / In-depth study of a particular area of public management or governance. Case studies or project to be conducted in collaboration with one or more public sector organizations. Written report. Graded S (Satisfactory) / NS (Not satisfactory) by the professor in charge.
Volet / Course Component: Cours magistral / Lecture"
ADM 6925,Marketing mondial / Global Marketing (3 crédits / 3 units),
ADM 6940,Informations financières et de gestion en milieu international / International Financial and Managerial Information (3 crédits / 3 units),
ADM 6954,Gestion internationale du risque financier et politique de couverture / International Financial Risk and Exposure Management (3 crédits / 3 units),
ADM 6955,Gestion mondiale et politique commerciale / Global Management and Trade Policy (3 crédits / 3 units),
ADM 6960,Politique internationale de l'entreprise I / International Business Policy I (3 crédits / 3 units),
ADM 6961,Politique internationale de l'entreprise II et négociation / International Business Policy II and Negotiations (3 crédits / 3 units),
ADM 6970,La gestion des systèmes d'information en contexte international / Information Systems Management in an International Context (3 crédits / 3 units),
ADM 6980,Logistique et production multinationales / Multinational Logistics and Manufacturing (3 crédits / 3 units),
PSY 1101,Introduction to Psychology: Foundations (3 units),"
Object and method of psychology.  Historical perspective. Nervous system, consciousness.  Sensory processes, perception, cognition, memory, language, and thought.  Emotions, motivation. Learning.
Course Component: Lecture"
PSY 1102,Introduction to Psychology: Applications (3 units),"
Heredity, environment, and human development. Intelligence. Personality. Mental health, abnormal behaviour and therapeutic approaches. Social psychology.
Course Component: Lecture"
PSY 2105,Child Development (3 units),"
Physical, cognitive, linguistic, emotional and social development in childhood studied from different empirical and theoretical perspectives in psychology. Current research in child development.
Course Component: Lecture"
PSY 2106,Quantitative Methods in Psychology I (3 units),"
Descriptive statistics: frequency distributions, measures of central tendency and variability, normal curve, correlation and regression. Introduction to inferential statistics: hypothesis testing, t-test and chi-square. Application to psychology.  Leads to PSY 2116.
Course Component: Laboratory, Lecture"
PSY 2110,Social Psychology (3 units),"
Social perception, attitudes, prejudice, interpersonal attraction, social influence, aggression, groups and leadership. Current research in social psychology.
Course Component: Lecture"
PSY 2114,Lifespan Psychology (3 units),"
Developmental psychology from birth to old age.
Course Component: Lecture"
PSY 2116,Quantitative Methods in Psychology II (3 units),"
Statistical inference:  simple and complex analysis of variance, multiple comparisons, trend analysis, power and covariance analysis. Application to psychology.
Course Component: Laboratory, Lecture"
PSY 2174,Research Methods and Ethics (3 units),"
Methodology and ethics of research. Research protocol. Experimental and non-experimental designs. Documentation. Writing style. Current research illustrating the different protocols employed across subfields of psychology.
Course Component: Laboratory, Lecture"
PSY 2301,Biological Foundations of Behaviour (3 units),"
Fundamentals of genetics and cytology. Elements of neurophysiology and physiological methods. Evolutionary development and organization of mammalian nervous system. Basic neuroanatomy. Neurochemical aspects of behaviour. Methods and techniques in physiological psychology. Sensory and motor systems and associated pathways. Current research in biological foundations of behavior.
Course Component: Lecture"
PSY 2391,Special Topics in Psychology I (3 units),"
Examination of a particular topic in psychology. Content and format will vary depending on professor.
Course Component: Lecture"
PSY 3101,The Psychology of Death and Dying (3 units),"
The psychology of the dying process. Denial of and vulnerability to death in contemporary times. Normal and problematic grief. Psychological aspects of the funeral. Current research in psychology of death and dying.
Course Component: Lecture"
PSY 3102,Interpersonal Relationships (3 units),"
Verbal and non-verbal communication. Theory and research of interpersonal relationships. Intercultural communication. In-class laboratory exercises and preparation of individual projects. Current research in interpersonal relationships.
Course Component: Lecture"
PSY 3103,Learning and Conditioning (3 units),"
Learning phenomena. The conditions of learning and their consequences. Current research in learning and conditioning.
Course Component: Lecture"
PSY 3105,The Psychology of Adolescence (3 units),"
Physical, emotional, social, moral and intellectual development of the adolescent. Problems in the development of personal, social and sexual maturity. Current research in the psychology of adolescence.
Course Component: Lecture"
PSY 3108,Perception (3 units),"
The problem of perception. Nature of perceptual phenomena. Principles of perception. Psychological, physiological and philosophical aspects. Course includes laboratory activities. Current research in perception.
Course Component: Laboratory, Lecture"
PSY 3109,Social Motivation (3 units),"
Theories of motivation. Emotions as motives and indicators of motivational states. Self-efficacy, success expectancy, and outcome importance in motivated behaviour. Gender differences. Motivational bases of current concerns: obesity, phobias, self-handicapping, over achievement behaviours. Current research in social motivation.
Course Component: Lecture"
PSY 3121,Psychology of Women (3 units),"
Theoretical and methodological issues concerning women. Sexual dimorphism, biology and socialization experiences. Gender stereotypes. Familial, occupational, and other societal roles. Identity and self-concept in relation to social norms. Mental health and well-being. Violence against women. Current research in psychology of women.
Course Component: Lecture"
PSY 3122,Human Sexual Behaviour (3 units),"
Fundamental questions about human sexual behaviour. Biological bases of human sexuality. Development and manifestations of human sexual behaviour. Sexuality and culture, current trends. Current research in human sexual behaviour.
Course Component: Lecture"
PSY 3123,The Psychology of the Family (3 units),"
Relationships, separation, divorce, remarriage and step-parenting. Childlessness, infertility, pregnancy. Caring. Poverty. Abuse of children, spouse or elders. Balancing work and family. Psychopathology and treatment. Current research in the psychology of the family.
Course Component: Lecture"
PSY 3124,Industrial and Organizational Psychology (3 units),"
Selection, placement and training; work motivation, morale and job satisfaction; leadership, supervision and decision-making; job analysis and evaluation; work environment and the organization. Current research in industrial and organizational psychology.
Course Component: Lecture"
PSY 3126,Cross-Cultural Psychology (3 units),"
Definition of culture. Impact of culture on psychological processes (e.g., cognitive development, sensation and perception, social behaviour). Communication across cultures. Ethnic relations in a multicultural society. Psychological effects of culture change. Mental health and well-being among immigrants and refugees. Culture-centred assessment and psychotherapy. Current research in cross-cultural psychology.
Course Component: Lecture"
PSY 3128,The Psychology of Ageing (3 units),"
Psychological processes of late adulthood. Sensory processes, attention, memory, learning, intelligence, personality, interpersonal relationships, coping strategies, mental health issues, depression, dementia, interventions of the clinical psychologist. Current research in the psychology of ageing.
Course Component: Lecture"
PSY 3132,Special Topics in Social Psychology (3 units),"
Study of various themes in social psychology.  The content may change from year to year.  There is a research component in the course.
Course Component: Lecture"
PSY 3135,Social Development of the Child (3 units),"
Study of children's social relationships and social interactions from infancy to puberty. Influence of the family, home, school, peers, and society on the development of children as social beings. Current research in social development of the child.
Course Component: Lecture"
PSY 3136,Language Development (3 units),"
Language development from the prenatal period to adulthood, the development of the components of language from speech perception to complex grammar, the theoretical approaches to language acquisition, and the processes that underlie both typical and atypical language development. Interactions between cognitive, social, and linguistic development. Current research in language development.
Course Component: Lecture"
PSY 3142,Drugs and Behaviour (3 units),"
Behavioural pharmacology, psychotropic drugs, drug classes, therapeutic indications, abuse potential, societal impact of drugs. Current research in drugs and behaviour.
Course Component: Lecture"
PSY 3171,Psychopathology (3 units),"
An introduction to the study of psychological disorders: causes, assessment, and treatment. Integration of biological, psychological, and social perspectives. Current research in psychopathology.
Course Component: Lecture"
PSY 3173,Forensic Psychology (3 units),"
Introduction to the study of individual human behaviour as it relates to law and justice systems. Current research in forensic psychology.
Course Component: Lecture"
PSY 3174,Psychology of Postsecondary Education (3 units),"
Empirical research and preventive approaches in psychology of postsecondary education. Challenges and obstacles during the transition from high school to postsecondary education. Risk and protective factors. Academic success, perseverance, retention, and dropout. Course includes laboratory activities.
Course Component: Laboratory, Lecture"
PSY 3301,Behavioural Neuroscience (3 units),"
Neural communication and synaptic integration. Biochemistry and pharmacology of synaptic transmission. Brain mechanisms underlying reward and punishment, aggression, memory and sleep-waking processes.
Course Component: Lecture"
PSY 3303,Personality (3 units),"
Major theories in personality. Main schools of thought and study of general characteristics of each theory. Leading representative of each school. Current research in personality.
Course Component: Lecture"
PSY 3306,Psychosocial Aspects of Health (3 units),"
Review of the applications of psychology to the health domain with respect to commonly used theoretical models, methods, research findings and evidence-based intervention. Notions of epidemiology, etiology, intervention and prevention are covered within a biopsychosocial model of mental and physical health. Illustrations will be illness-based (cancer, diabetes, etc) and risk-factor based (obesity, poverty, etc). Current research in psychosocial aspects of health.
Course Component: Lecture"
PSY 3307,Psychometric Methods (3 units),"
The rationale and problems of psychometric methods.  Test construction and item analysis.  Psychometric properties of tests: reliability, validity and standard error.  The different types of norms. Intelligence, aptitude, interest and personality: Tests and models.
Course Component: Lecture"
PSY 3377,Cognition (3 units),"
Introduction to contemporary cognitive psychology. Origin of cognitive and symbolic processes. Historic foundations. Acquisition of various kinds of knowledge. Analysis of cognitive strategies. The course includes laboratory activities. Current research in cognition.
Course Component: Laboratory, Theory and Laboratory"
PSY 3378,Cognitive Development (3 units),"
Development of children s cognitive abilities beginning in infancy and progressing through the preschool and early school years. Theories of cognitive development including Piagetian, Vygotskyan, information-processing, and theory-theory. Development of reasoning about the physical world, representational skills, memory, planning and problem-solving, language, and social cognition. Current research in cognitive development.
Course Component: Lecture"
PSY 3391,Special Topics in Psychology II (3 units),"
Examination of a particular topic in psychology. Content and format will vary depending on professor.
Course Component: Lecture"
PSY 4105,Psychological Disorders Among Children and Adolescents (3 units),"
The course presents general concepts of psychopathology within the context of normative child development processes. An overview is provided of the major psychological disorders of childhood and adolescence, including their features and the interventions used to help overcome them. Current research in psychological disorders among children and adolescents.
Course Component: Lecture"
PSY 4110,Directed Reading in Psychology (3 units),"
Readings conducted under the supervision of a professor in order to develop the knowledge of a particular aspect in the study of psychology. Registration for directed readings is limited and must be approved by the undergraduate program director in keeping with modalities approved by the Faculty.
Course Component: Research"
PSY 4122,Advanced Studies in Human Sexuality (3 units),"
Sexual values, culture and the media; relationship status and sexual lifestyles; gender role norms and the transgendered; sexual problems across the life cycle; sexuality and disability. Current research in advanced studies in human sexuality.
Course Component: Lecture"
PSY 4127,Psychological Assessment (3 units),"
Construction of standardized tests. Intelligence, aptitude, achievement, personnel selection, interest tests; projective and inventoried personality measures. Use of tests which are not subject to professional restrictions.
Course Component: Lecture"
PSY 4130,History and Systems of Psychology (3 units),"
Philosophical and scientific background of psychology. Birth of scientific psychology and its development.
Course Component: Lecture"
PSY 4134,Community Psychology (3 units),"
History and definition. Community perspective on mental health, social intervention, prevention, health promotion and research methods. Role of community psychologists. Current research in community psychology.
Course Component: Lecture"
PSY 4173,Seminar in Cognitive Psychology Research (3 units),"
In this seminar, students undertake an extensive examination of theoretical problems in the fields of vision, spatial processing, learning, memory, attention, object recognition, or face recognition. Critical examination of scientific literature dealing with these topics and proposition of research strategies that would provide solutions to these theoretical problems.
Course Component: Seminar"
PSY 4174,Seminar in Evolutionary Psychology (3 units),"
Animal and human evolution, natural selection and adaptation. Sexual differentiation, brain and behaviour: foraging behaviour, parental investment and strategies, male-female relationships and mate choice, polyandry and polygyny, parent-offspring conflict, cooperation and altruism. Current research in evolutionary psychology.
Course Component: Seminar"
PSY 4180,Human Neuropsychology (3 units),"
Physiological basis for the major motor, perceptual and cognitive brain systems. Case studies of the major syndromes associated with focal lesions of the brain and overview of the methods used to delineate the functional impairments and sparing following brain insults. Current research in human neuropsychology.
Course Component: Lecture"
PSY 4181,Psychological Factors in the Workplace (3 units),"
Examination of complex multilevel interactions by which work related psychological processes impact psychological health, motivation, and performance of individuals and groups in the work domain. Current research in psychological factors in the workplace.
Course Component: Lecture"
PSY 4276,Honours Thesis (6 units),"
Development, execution and report of a major approved research project carried out under supervision of a professor. Reserved for students enrolled in the Honours programs in psychology. Registration is limited by the modalities approved by the Faculty.
Course Component: Lecture"
PSY 4276, Honours Thesis (Part 2 of 2) (6 units),"
Development, execution and report of a major approved research project carried out under supervision of a professor. Reserved for students enrolled in the Honours programs in psychology. Registration is limited by the modalities approved by the Faculty. (Part 2 of 2)
Course Component: Lecture"
PSY 4302,Laboratory in Physiological Psychology (3 units),"
Lectures on research methods in behavioural neurobiology. Series of experiments in this field. The laboratories may include brain surgery, intracranial stimulation, behavioural pharmacology and neurophysiology. Current research in laboratory in physiological psychology.
Course Component: Laboratory, Lecture"
PSY 4310,Directed Research in Psychology (3 units),"
Completion, individually or in a small group, of a research project under the supervision of a professor. This course allows for the application of already acquired abilities and the acquisition of new knowledge related to performing research. Registration for directed research is limited and must be approved by the undergraduate program director in keeping with modalities approved by the Faculty.
Course Component: Research"
PSY 4327,Sleep and Dreams (3 units),"
Sleep and dreams in the context of physiology and psychological adaptation. Functions of sleep. Sleep disorders and their treatment. Theories of dream functions. Dreams, health, personality and consciousness. Course includes laboratory activities (e.g., sleep-lab experiment or dream analysis lab).
Course Component: Lecture"
PSY 4371,Special Topics in Psycho- Pathology (3 units),"
The study of various themes in abnormal psychology. The content may change from year to year.
Course Component: Lecture"
PSY 4372,Clinical Psychology (3 units),"
Roles, practices and ethical issues in clinical psychology.  Assessment. Forms of intervention across modalities (individual, group, marital, family) and orientations (behavioural, psychodynamic, humanistic, systemic).  Role of research.
Course Component: Lecture"
PSY 4391,Special Topics in Psychology (3 units),"
Examination of a particular topic in psychology.  Content and format will vary depending on professor.
Course Component: Lecture"
PSY 4391, Special Topics in Psychology (Part 2 of 2) (3 units),"
Examination of a particular topic in psychology. Content and format will vary depending on professor. (Part 2 of 2)
Course Component: Lecture"
PSY 5065,Seminar in Child Psychology (4 crédits / 4 units),
PSY 5102,Applied Psychopathology (3 units),"
Major conceptual and empirical issues in the field of psychopathology. Contemporary diagnostic systems and procedures (e.g., DSM).
Course Component: Lecture"
PSY 5103,Fundamentals or Behavioural Neuroscience (3 units),"
Critical analysis of research trends in behavioural neuroscience and of the relations between neuroanatomy, functional systems, and complex behaviours (e.g., spatial orientation, memory, language, reasoning).
Course Component: Lecture"
PSY 5104,Integration Seminar in Program Evaluation (3 units),"
Integration of program evaluation practice, research and theory leading to a written report related to advances in program evaluation practice and theory.
Course Component: Lecture"
PSY 5105,Fundamentals of Cognitive Psychology (3 units),"
Critical analysis of research trends in cognitive psychology. Topics to include cognitive architectures and their underlying principles, the interpretation of sensory signals, attention, memory, language, mental computation, reasoning and problem-solving.
Course Component: Lecture"
PSY 5111,Theories of Personality (3 units),"
Contemporary personality theory and research concerning the structure, heritability, social and biological determinants, and social and psychiatric manifestation of fundamental personality traits.
Course Component: Lecture"
PSY 5113,Fundamentals of Social Psychology (3 units),"
Critical analysis of research trends in contemporary social psychology . Topics to include the units of analysis in social psychology, social influence, formation and functions of attitudes, stereotypes, social motivation, leadership, social organizations, and inter-group relations.
Course Component: Lecture"
PSY 5114,Fundamentals of Developmental Psychology (3 units),"
Critical analysis of research trends in developmental psychology. Topics to include current issues in emotional, cognitive, and social development during childhood and adolescence and an evaluation of current conceptualizations, measurement techniques, and research methodologies.
Course Component: Lecture"
PSY 5120,Advanced Statistics in Psychology: Univariate Data Analysis (3 units),"
Topics covered include general linear approaches to analysis of variance and covariance, basic assumptions of parametric techniques, expected mean square and error term selection, multiple comparison and trend procedures, power of statistical tests. Attention to be paid to selected factorial designs including repeated measures, regression, and log-linear analyses.
Course Component: Lecture"
PSY 5121,Advanced Statistics in Psychology: Multivariate Data Analysis (3 units),"
Principles of multivariate statistics in general, and of those of multiple regression, discriminant function analysis, multivariate analysis of variance and canonical correlation, in particular. Each statistical procedure to be accompanied by required computer application work involving major statistical packages.
Course Component: Lecture"
PSY 5125,Principles of Neuropsychology (3 units),"
Focus on understanding brain behaviour relationships by examining major neurobehavioural syndromes and associated neuropsychological deficits. Review of the current theoretical assumptions underlying the syndromes. Topics include: history and principles of neuropsychology, gross neuroanatomy and neuropathology, aphasia, apraxia, agnosia, alexia, agraphia, visuo-spatial/perceptual/construction disorders, attention/neglect, memory and learning, limbic system functions, callosal syndromes, and executive functions.
Course Component: Lecture"
PSY 5133,Clinical Research Methods (3 units),"
General research principles as they apply to research with clinical populations and to research on clinical services. Strategies for enhancing both the internal and external validity of research. Sampling, measurement, statistical power, and the selection of appropriate research designs.
Course Component: Lecture"
PSY 5158,Research Practicum in Social and Interpersonal Relations (3 units),"
Current research in assertion and social skills training is studied through student and staff participation in research projects.
Course Component: Lecture"
PSY 5202,Psychodiagnostic Assessment of Adults and Children (6 units),"
Assessment of intellectual, behavioural and emotional functioning of children and adults. Administration, scoring, and interpretation of selected instruments. Integration of data for communication of assessment findings to clients and others (e.g., parents, teachers).
Course Component: Lecture"
PSY 5202, Psychodiagnostic Assessment of Adults and Children (Part 2 of 2) (6 units),"
Assessment of intellectual, behavioural and emotional functioning of children and adults. Administration, scoring, and interpretation of selected instruments. Integration of data for communication of assessment findings to clients and others (e.g., parents, teachers). (Part 2 of 2)
Course Component: Lecture"
PSY 5207,Psychological Intervention and Consultation (6 units),"
Development of basic intervention skills. Models of psychological intervention. Consultation with individuals, organizations, and systems.
Course Component: Lecture"
PSY 5207, Psychological Intervention and Consultation (Part 2 of 2) (6 units),"
Development of basic intervention skills. Models of psychological intervention. Consultation with individuals, organizations, and systems. (Part 2 of 2)
Course Component: Lecture"
PSY 5424,Contemporary Issues and Professional Skills in the Psychological Sciences (6 units),"
Critical examination of contemporary issues and methodological approaches in the psychological sciences from the perspective of multiple research traditions, as well as the development of professional skills. In-class activities include lectures in each of the program's four areas of study (behavioural neuroscience, cognitive, developmental, and social/community). Professional skills modules and workshops about future career possibilities.
Course Component: Lecture"
PSY 5424, Contemporary Issues and Professional Skills in the Psychological Sciences (Part 2 of 2) (6 units),"
Critical examination of contemporary issues and methodological approaches in the psychological sciences from the perspective of multiple research traditions, as well as the development of professional skills. In-class activities include lectures in each of the program's four areas of study (behavioural neuroscience, cognitive, developmental, and social/community). Professional skills modules and workshops about future career possibilities. (Part 2 of 2)
Course Component: Lecture"
